,Rank,NCTId,Condition,BriefTitle,InterventionType,LocationCountry,StartDate,CompletionDate,Country_Name
219,220,NCT00823225,Diabetic Foot|Arterial Occlusive Disease|Ischemia,Urokinase Therapy in Patients With Diabetic Foot Syndrome,Procedure,Germany|Germany|Germany|Germany|Germany|Germany,June 2008,June 2009,Germany
220,221,NCT01108263,Diabetes|Foot Ulcer,Use of INTEGRA™ Flowable Wound Matrix to Manage Diabetic Foot Ulcers,Drug,United States,June 2010,August 2011,United States
221,222,NCT01382628,Diabetic Foot Ulcers|Equinus Deformity,Determination of the Pathophysicologic Collagen Changes in the Diabetic Achilles Tendon,,United States,May 2011,April 2019,United States
222,223,NCT02344329,Diabetic Foot Ulcers|Diabetes,A Comparison of TCC-EZ Using Human Amnion Allograft vs TCC-EZ and Standard Wound Care in Treating Diabetic Foot Ulcers.,Device,United States,August 2014,November 2017,United States
223,224,NCT02586519,Diabetes|Diabetes Complications|Neuropathy|Peripheral Neuropathy|Diabetic Foot Ulcer,Pressure-Sensing Insoles in the Neuropathic Ulcer Treatment Pathway,Device,Canada,June 2016,January 2021,Canada
224,225,NCT02463500,Diabetic Foot Ulcers|Osteomyelitis,"UT Southwestern Diabetic Foot Ulcers (DFU) and Osteomyelitis (DFO) Recruitment Database, Data and Tissue Repository",Other,United States|United States,January 2015,December 2022,United States
225,226,NCT02685696,Surgical Site Infection,Surgical Site Infection in Caesarean Section Using Alexis O Compared to Metal Retractors,Device,,October 2013,February 2016,
226,227,NCT04750837,Platelet Rich Plasma,Platelet Rich Plasma and Diabetic Foot Ulcer,Procedure,Egypt,"January 16, 2020","January 20, 2021",Egypt
227,228,NCT01408277,Diabetic Foot Ulcers|Diabetic Foot Wounds,Using Santyl on Diabetic Foot Ulcers,Biological,United States|United States|United States|United States|United States|United States|United States,August 2011,March 2013,United States
228,229,NCT02361931,Diabetic Foot Ulcer,Topical Erythropoietin Hydrogel Formulation for Diabetic Foot Ulcers,Drug,Israel|Israel|Israel|Israel|Israel,"March 21, 2016","June 12, 2018",Israel
229,230,NCT03269968,"Obesity, Morbid|Wound Infection|Wound Complication",Use of Negative Pressure Wound Therapy in Morbidly Obese Women After Cesarean Delivery,Device,United States,"October 3, 2017","June 30, 2019",United States
230,231,NCT04090008,Diabetic Foot,A Randomized Trial on Platelet Rich Plasma Versus Saline Dressing of Diabetic Foot Ulcers,Drug,Egypt,"August 1, 2017","August 1, 2019",Egypt
231,232,NCT00926068,Diabetic Foot Ulcer,Safety and Efficacy of HO/03/03 10μg in the Treatment of Plantar Neuropathic Diabetic Foot Ulcers,Drug,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|India|India|India|India|India|India|India|India|India|India|India|India|India|India,February 2010,,United States
232,233,NCT03742440,Diabetic Foot Ulcer,GrafixPL PRIME Evaluation Case Study,Biological,United States,"November 20, 2018","March 1, 2020",United States
233,234,NCT04210089,"Diabetic Foot Ulcer|Diabetes Mellitus|Foot Ulcer|Foot Ulcer, Diabetic|Ulcer|Ulcer Foot|Ulcer, Leg|Ankle Ulcer",Total Contact Soft Cast in Diabetic Foot Ulcers,Device,United States,"April 1, 2021","April 1, 2023",United States
234,235,NCT00815217,Diabetic Wounds|Venous Stasis Wounds,The Role of Lipoaspirate Injection in the Treatment of Diabetic Lower Extremity Wounds and Venous Stasis Ulcers,Procedure,United States,February 2009,February 2010,United States
235,236,NCT01578382,Hypertensive Ischemic Leg Ulcer|Calciphylaxis,Pathophysiology of Martorell Hypertensive Ischemic Leg Ulcer (HYTILU),,Switzerland,September 2011,December 2019,Switzerland
236,237,NCT00338702,Diabetic Foot Ulcer,"A Randomized, Controlled Trial of Autologous Platelet Gel Treatment in Diabetic Foot Ulcers",Procedure,Canada,March 2008,October 2009,Canada
237,238,NCT02322554,Diabetic Foot Ulcers|Venous Stasis Ulcer|Pressure Ulcer|Chronic Non Healing Wound|Surgical Wound Dehiscence,Cellular and Tissue Based Therapy Registry,Biological,United States,January 2005,,United States
238,239,NCT03687580,Diabetic Foot Ulcer,Laser Therapy for At-Home Treatment of Diabetic Foot Ulcers - Canada,Device,Canada,"February 1, 2019","October 1, 2021",Canada
239,240,NCT03687320,Diabetic Foot Ulcer,Laser Therapy for At-Home Treatment of DIabetic Foot Ulcers,Device,Israel,"December 2, 2019","October 1, 2023",Israel
240,241,NCT04039789,Varicose Ulcer,Impact of Physical Activity as a Coadjuvant Treatment in the Healing of Venous Ulcers in Primary Health Care.,Behavioral,Spain,"May 17, 2021","December 31, 2023",Spain
241,242,NCT01651845,Wounds|Diabetic Foot Ulcers,Evaluation of a 'Hand-held' Fluorescence Digital Imaging Device for Real-Time Advanced Wound Care Monitoring (JDRTC/UHN),,Canada,July 2012,September 2018,Canada
242,243,NCT03063138,Diabetes Mellitus|Diabetic Foot Ulcer|Wound|Chronic Disease,Evaluation of 3D Imaging Ulcer Camera,,Denmark,"August 1, 2015","March 1, 2017",Denmark
243,244,NCT05041244,Diabetic Foot,Negative Pressure Wound Therapy in Diabetic Wounds,Device,Mauritius,"May 1, 2019","July 1, 2021",Mauritius
0,1,NCT01520701,Head and Neck Cancer,Impact of Applying a Bandage Skin Hydrogel on the Pains of the Head and Neck in Patients With Cancer of Head and Neck Treated With Radiotherapy,Device,France|France|France|France|France|France|France,February 2012,September 2023,France
1,2,NCT04997863,Wound|Donor Site Complication|Skin Graft Scar|Scar Conditions and Fibrosis of Skin,Clinical Efficacy and Safety of Sericin Hydrogel Sheet Impregnated With Bird's Nest Extract,Device,Thailand,"November 1, 2021","October 31, 2022",Thailand
2,3,NCT01065714,Atopic Dermatitis,A Study to Investigate the Use of Hydrogel Vehicle in Maintaining the Skin Barrier in Persons With Atopic Dermatitis,Drug,United States,February 2010,November 2010,United States
3,4,NCT04309110,"Stroke, Acute",Efficacy of Adhesive Strength of New Hydrogel Formulation,Device,,"January 31, 2021",June 2021,
4,5,NCT03113747,Second- or Third-degree Burns,Allogeneic ADSCs and Platelet-Poor Plasma Fibrin Hydrogel to Treat the Patients With Burn Wounds (ADSCs-BWs),Biological,Ukraine,"March 25, 2015","December 26, 2018",Ukraine
5,6,NCT02839473,Breast Cancer|Radiation Dermatitis,Hydrosorb® Versus Control in the Management of Radio-induced Skin Toxicity: Multicentre Controlled Phase III Randomized Trial,Device,France|France,March 2010,July 2014,France
6,7,NCT03674151,Split-skin Grafted Third-degree Burn Wound,Trial of Different Wound Dressings in Split-skin Grafted Third Degree Burns,Device,Germany,July 2015,December 2020,Germany
7,8,NCT00924508,Eczema,Hydrogel Patch for the Treatment of Eczema,Device,United States,July 2008,July 2012,United States
8,9,NCT00481884,Radiation Dermatitis,Comparing RadiaPlexRx Hydrogel and Standard-of-Care for Radiation Dermatitis in Breast Cancer Patients,Other,United States,May 2007,January 2012,United States
9,10,NCT02910011,"Dermatitis, Atopic",Topical NanoDox® for Atopic Dermatitis,Drug,United States|United States,"May 18, 2017","November 30, 2018",United States
10,11,NCT02322086,Psoriasis,A Phase 2 Study of Cellular and Immunologic Changes in the Skin of Subjects Receiving PH-10,Drug,United States|United States|United States,January 2015,June 2017,United States
11,12,NCT00941278,Psoriasis,An Efficacy and Safety Study of PH-10 Aqueous Hydrogel for the Treatment of Plaque Psoriasis,Drug,United States|United States,July 2009,April 2010,United States
12,13,NCT04481802,Breast Cancer|Radiation Dermatitis,The Effect of RadiaAce Gel in the Prevention and Treatment of Radiation Dermatitis in Breast Cancer Patients,Device,Israel,"July 14, 2021",October 2022,Israel
13,14,NCT02224638,Pressure Ulcers,Wound Management for Sacral Pressure Ulcers With Necrotic Tissue,Device,United States|United States,December 2014,August 2015,United States
14,15,NCT02854540,Hyperhidrosis|Hyperhidrosis Palmaris et Plantaris,Management of Palmar Hyperhidrosis With Hydrogel-based Iontophoresis,Device,United States|United States,August 2016,"August 30, 2018",United States
15,16,NCT01247818,Psoriasis,Randomized Study of PH-10 for Psoriasis,Drug,United States|United States|United States|United States,December 2010,March 2012,United States
16,17,NCT01534858,Burns,"A Prospective, Descriptive Cohort Study With Prontosan® Wound Gel X in Partial and Full Thickness Burns Requiring Split Thickness Skin Grafts",Device,Germany|Germany|Germany,March 2012,June 2015,Germany
17,18,NCT03050827,"Diabetic; Neuropathic, Polyneuropathy (Manifestation)",Muscarinic Receptor Antagonists as a Therapy for Diabetic Neuropathy,Drug,United States,"May 1, 2014","December 31, 2017",United States
18,19,NCT00924950,Plaque Psoriasis|Psoriasis Vulgaris,Taclonex Ointment With Hydrogel Patch Occlusion for the Treatment of Psoriasis,Drug,United States,June 2009,December 2009,United States
19,20,NCT01936337,Psoriasis Vulgaris,"Topical Double-blind, Randomized, Placebo-controlled Study in Psoriasis Patients",Drug,Austria|Germany|Germany,August 2013,July 2014,Austria
20,21,NCT04192123,Intact Skin,Open-Label Test of the HM242 Medical Devices to Evaluate Safety and Local Tolerability,Device,Germany,"May 25, 2020","June 19, 2020",Germany
21,22,NCT00970697,MARTORELL'S ULCER|Hypertensive Leg Ulcer|Necrotic Angiodermatitis,Becaplermin Gel for MARTORELL's Hypertensive Leg Ulcers,Drug,France,January 2004,June 2009,France
22,23,NCT00690807,Atopic Dermatitis,A Phase 2 Study of PH-10 for the Treatment of Atopic Dermatitis,Drug,United States|United States,June 2008,September 2009,United States
23,24,NCT03808532,"Dermatitis, Atopic",Moisturizer to Prevent Atopic Dermatitis,Other,,June 2020,December 2022,
24,25,NCT03190655,Partial-thickness Burn,Efficacy and Safety of Aluminaid Versus Hydrogel Wound Dressings,Device,Indonesia,"March 1, 2017","March 5, 2018",Indonesia
25,26,NCT02718625,Pressure Ulcer,Study of SANTYL® vs Hydrogel (SoloSite®) for Pressure Ulcers,Biological,United States,August 2016,"March 9, 2017",United States
26,27,NCT04601532,Superficial Partial Thickness Burn,Superficial Partial-Thickness Burn Study,Device,United States,"June 11, 2021",December 2022,United States
27,28,NCT01143727,Diabetic Foot Ulcers,Enzymatic Versus (vs) Autolytic Debridement of Diabetic Foot Ulcers,Drug,United States,July 2010,October 2012,United States
28,29,NCT04505787,Comparative Bioavailability,S-flurbiprofen Bioavailability Trial to Compare a Newly Developed Patch vs. a Marketed Tablet,Drug,Germany,"July 24, 2020","September 24, 2020",Germany
29,30,NCT02813213,Skin Ulcer|Burns,Effectiveness Comparison of Skin Micro-grafts vs Meshed Split Thickness Skin Grafts,Procedure,Mexico,June 2016,September 2018,Mexico
30,31,NCT00498992,"Dermatologic Complications|Unspecified Adult Solid Tumor, Protocol Specific",Regenecare® Wound Gel in Treating Rash in Patients Receiving Cetuximab or Other Epidermal Growth Factor Receptor Inhibitor Therapy for Cancer,Dietary Supplement,United States,July 2006,,United States
31,32,NCT04995328,Radiation Dermatitis,Clinical Investigation on the Treatment of Radiation Induced Dermatitis With Radiation Care® Gel,Other,Taiwan,August 2021,June 2022,Taiwan
32,33,NCT00617825,Venous Insufficiency,Feasibility Study of Cryotherapy for Chronic Venous Disorders,Other,United States,September 2007,August 2009,United States
33,34,NCT04133493,Diabetic Foot Ulcer,Omega3 Wound Fish Skin Graft in the Treatment of DFUs,Device,United States|United States|United States|United States|United States,"July 31, 2019","January 30, 2021",United States
34,35,NCT01573234,Wounds and Injuries|Abrasion|Cut Injuries,Efficacy of MySkin Patch for the Healing of Cut Injuries and Abrasions,Device,Italy,April 2012,January 2014,Italy
35,36,NCT01499264,Burns|Burn Injury|Hydrogel Bandage|Occlusive Dressings,Efficacy of MySkin Patch for the Healing of Burn Wounds: a Randomised Controlled Trial,Device,Italy|Italy,January 2012,October 2014,Italy
36,37,NCT01407952,Cerebral Aneurysm,Hydrogel Endovascular Aneurysm Treatment Trial,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada|Canada|Canada|Canada|Canada|Canada,April 2012,March 2018,United States
37,38,NCT02445417,Encephalopathy|Asphyxia Newborns,Brain Activity During Birth for Prediction of Newborns at Risk for Brain Injury,,United States,"June 25, 2015",,United States
38,39,NCT02696317,Refractive Error,Clinical Evaluation of ACUVUE® OASYS® 1-Day and ACUVUE® OASYS®,Device,,"March 18, 2016","June 6, 2016",
39,40,NCT04514861,Peripheral Artery Disease,Monitoring Local Tissue Oxygen Changes Using the Wireless Lumee Oxygen Platform in Correlation to TcPO2,Device,United States|United States|United States,"December 18, 2020",May 2022,United States
40,41,NCT03282981,Chronic Diabetic Foot Ulcers|Diabetic Neuropathic Ulcers|Non Healing Wound,Beta Adrenergic Antagonist for the Healing of Chronic DFU,Drug,United States,"June 14, 2018","December 31, 2022",United States
41,42,NCT03156543,Shoulder Arthropathy Associated With Other Conditions|Shoulder Arthritis|Shoulder Osteoarthritis|Shoulder Pain,"Microcurrent Dressing to Treat Infections, Before, During and After Surgery",Device,United States,"April 19, 2017","October 1, 2019",United States
42,43,NCT04801433,Scalp Psoriasis,Evaluate the Efficacy and Safety of Boroda Supramolecular Active Zinc in the Treatment of Scalp Psoriasis,Other,China,"November 30, 2018","November 25, 2019",China
43,44,NCT04169490,Scar|Keloid|Hypertrophic Scar|Cicatrix,"""A Clinical Study Investigating the Effectiveness of OTC Scar-management Modalities""",Other,United States,"February 7, 2019","January 27, 2021",United States
44,45,NCT03654989,Diabetic Foot Ulcer,Iontophoresis of Treprostinil to Enhance Wound Healing in Diabetic Foot Skin Ulcers,Drug,France,"January 28, 2020",September 2023,France
45,46,NCT02451618,Seizures|Encephalopathy|Asphyxiated Newborn,Novel Epidermal Recording and Detection of Seizures,,United States,"January 27, 2015",,United States
46,47,NCT00795106,Myofascial Pain Syndrome,Trial to Evaluate the Efficacy of Topical Capsaicin to Reduce Pain and Improve Health-related Quality of Life in Adults With Chronic Myofascial Neck Pain,Drug,United States,November 2009,November 2010,United States
47,48,NCT03120533,"Scleroderma, Systemic",Treprostinil Iontophoresis in Systemic Sclerosis Digital UlcErations. A Proof of Concept Study,Drug,France,"June 20, 2017","June 3, 2019",France
48,49,NCT01368120,Skin Flora Infection,Antimicrobial Activity of IV Clear™ Dressing - Prevention of Antimicrobial Regrowth,Device,United States,April 2011,July 2011,United States
49,50,NCT05041244,Diabetic Foot,Negative Pressure Wound Therapy in Diabetic Wounds,Device,Mauritius,"May 1, 2019","July 1, 2021",Mauritius
50,51,NCT01368146,Skin Sensitization,Human Repeat Insult Patch Test of Wound Dressings,Device,United States,March 2011,April 2011,United States
51,52,NCT01590368,Healthy Subjects,A Comparative Wear Test of Two Adhesives on the Unilect ™ Biotab Short Term Monitoring Electrode,Device,,June 2012,June 2012,
52,53,NCT00691821,Skin Ulcer|Pressure Ulcer,Negative Pressure Wound Therapy for the Treatment of Chronic Pressure Wounds,Other,Canada|Canada|Canada|Canada,April 2009,May 2010,Canada
53,54,NCT00555646,Plaque Psoriasis,Topical PH-10 Aqueous Hydrogel and Photodynamic Therapy for Psoriasis,Drug,United States,November 2007,July 2009,United States
54,55,NCT01088685,Blister,Hydrogel Blister Patch Prototype Treatment for Foot Blisters on the Heel,Device,Germany,March 2010,November 2010,Germany
55,56,NCT04136847,Aging,Study to Evaluate the Efficacy and Tolerability of the SkinPen on Male and Female Subjects' Dorsal Hands as a Treatment for Signs of Hand Aging,Device,United States,"January 10, 2020","May 26, 2020",United States
56,57,NCT02164084,Acne Vulgaris,A 2 Period Cross-over Pharmacokinetic Study of SB204 in Acne Vulgaris,Drug,United States,June 2014,December 2014,United States
57,58,NCT04058054,Hypersensitivity,Skin Prick Test of KeraStat® Cream,Device,United States,"July 29, 2019","August 2, 2019",United States
58,59,NCT01657318,Ulcer|Skin Ulcer|Leg Ulcer|Diabetic Foot,Olivamine-containing Products in the Management of Patients With Nonhealing Lower Extremity Ulcers,Other,Philippines,"September 1, 2012","February 15, 2013",Philippines
59,60,NCT02578823,Hypoxic Ischemic Encephalopathy,Targeted Temperature Management After In-Hospital Cardiac Arrest,Device,"Korea, Republic of",January 2016,April 2018,"Korea, Republic of"
60,61,NCT00704340,Elective Cranial Procedures With Dural Incision,DuraSeal Sealant Post Market Study,Device,United States,September 2005,May 2009,United States
61,62,NCT03229330,Venous Ulcer|Low-Level Light Therapy,Low-level Light Therapy on Treatment of Venous Ulcers Assesed by Nursing Outcome Classification (NOC),Procedure,Brazil,April 2016,December 2018,Brazil
62,63,NCT04262479,Latent Autoimmune Diabetes in Adults,Injections of Glutamic Acid Decarboxylase (GAD) for LADA Type of Diabetes,Drug,Norway|Sweden,"March 2, 2020",September 2022,Norway
63,64,NCT03588130,Venous Leg Ulcer,A Study to Evaluate the Safety and the Efficacy of EscharEx (EX-02 Formulation) in Debridement of Venous Leg Ulcers,Drug,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Switzerland,"December 2, 2019",April 2022,United States
64,65,NCT03624023,Diabetic Foot Ulcer,TWB-103 for Treating Lower Limb Ulcers on Patients With DM,Drug,Taiwan|Taiwan,"May 1, 2019","December 30, 2022",Taiwan
65,66,NCT02712398,"Hernia, Ventral|Incisional Hernia",A Prospective Trial of a Bio-absorbable Mesh in Challenging Laparoscopic Ventral or Incisional Hernia Repair,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,April 2016,"November 15, 2019",United States
66,67,NCT02126709,Acne,The Efficacy and Safety of 3% Povidone-Iodine in Acne Therapy,Drug,Singapore,June 2014,December 2014,Singapore
67,68,NCT04999709,Anxiety,Electrical Vestibular Stimulation (VeNS) as a Treatment for Anxiety,Device,United Kingdom,October 2021,March 2022,United Kingdom
68,69,NCT04452981,Insomnia|Sleep Disturbance,Electrical Vestibular Stimulation (VeNS) as a Treatment for Insomnia,Device,United Kingdom,October 2021,April 2022,United Kingdom
69,70,NCT03166423,Diabetic Foot Ulcer,Efficacy and Safety of Snail Slime and Natural Extracts for Healing in Diabetic Foot Ulcers,Drug,Chile|Chile|Chile|Chile,"November 12, 2015","July 1, 2017",Chile
70,71,NCT01211236,Pressure Ulcers,Maggot Therapy for Wound Debridement,Other,France|France|France,February 2006,,France
71,72,NCT02896725,Varicose Ulcer,Wool-derived Keratin Dressings for Venous Leg Ulcers,Device,New Zealand,"March 1, 2017","September 30, 2019",New Zealand
72,73,NCT01244321,End-stage Heart Failure Awaiting VAD Implantation,COVADIS Pilot Trial: COseal in Ventricular Assist DevIceS,,Germany,December 2010,February 2018,Germany
73,74,NCT03160456,Obstructive Sleep Apnea,Domiciliary Transcutaneous Electrical Stimulation in Obstructive Sleep Apnoea,Device,United Kingdom,"June 18, 2018",June 2022,United Kingdom
74,75,NCT03665051,Sarcopenia,Electrical Stimulation of Human Myocytes in Microgravity,Procedure,United States,"January 25, 2019",September 2022,United States
75,76,NCT04132596,Spinal Cord Injuries,Spinal Stimulation in Chronic Spinal Cord Injury,Device,United Kingdom|United Kingdom,"November 11, 2019",November 2021,United Kingdom
76,77,NCT02781168,Premature Newborn,Influence of the Use of Hearing Protection in the Salivary Cortisol Level and in the Sleep of Premature Infants,Device,Brazil,June 2013,June 2016,Brazil
77,78,NCT02689310,Pressure Ulcers,Leptospermum Scoparium Honey and Wound Care for Pressure Ulcers,Other,United States,"March 1, 2018",April 2018,United States
78,79,NCT04834245,Diabetes Mellitus,Evaluation of Diabetic Foot Wound Healing Using Hydrogel/Nano Silver-based Dressing vs. Traditional Dressing,Procedure,Egypt,"January 3, 2019","December 30, 2019",Egypt
79,80,NCT03803059,Wrinkle|Fine Lines,Efficacy and Tolerability of SkinPen on Male and Female Subjects' Fine Lines and Wrinkles of the Face and Neck,Device,United States,"January 31, 2019","January 10, 2020",United States
80,81,NCT01905631,Pruritus|Atopic Dermatitis,"Blinded, Randomized Study Evaluating Aurstat Versus Control in the Treatment of Atopic Dermatitis Associated Pruritus",Drug,United States,July 2013,September 2013,United States
81,82,NCT02631512,Diabetic Foot Ulcers,Evaluation of Woulgan in Diabetic Foot Ulcer,Device,Sweden|United Kingdom|United Kingdom,October 2015,"April 30, 2019",Sweden
82,83,NCT04823962,Venous Leg Ulcer,Effect of rhGM-CSF on the Healing of Venous Leg Ulcers,Drug,Denmark,"March 11, 2021","May 30, 2022",Denmark
83,84,NCT01077765,HIV Infection|Antiretroviral Side Effects|Lipodystrophy Syndrome Related to HIV Infection,Polyacrylamide Hydrogel Injection in HIV-related Lipoatrophy,Device,France,November 2005,September 2009,France
84,85,NCT03816618,Diabetic Foot,The Healing Effects Of Honey and Hydrogel Products On The Diabetic Foot,Drug,Saudi Arabia|Saudi Arabia,"September 1, 2019","February 1, 2021",Saudi Arabia
85,86,NCT03700580,"Diabetic Foot|Neuropathy, Diabetic|Foot Ulcer",Clinical Trial Using the Proteolytic Fraction P1G10 From V. Cundinamarcensis to Heal Diabetic Foot Ulcer,Drug,Brazil,"August 15, 2012","October 15, 2016",Brazil
86,87,NCT02361931,Diabetic Foot Ulcer,Topical Erythropoietin Hydrogel Formulation for Diabetic Foot Ulcers,Drug,Israel|Israel|Israel|Israel|Israel,"March 21, 2016","June 12, 2018",Israel
87,88,NCT03754465,Diabetic Foot Ulcer,Clinical Study of ALLO-ASC-SHEET in Subjects With Diabetic Foot Ulcers,Biological,United States,"January 2, 2019","December 30, 2021",United States
88,89,NCT00764361,Diabetic Foot Ulcer,Safety Study of Topical Doxycycline Gel for Adult Diabetic Lower Extremity Ulcers,Drug,United States,January 2009,August 2010,United States
89,90,NCT01427569,Diabetic Foot Ulcer,Efficacy Study of IZN-6D4 Gel for the Treatment of Diabetic Foot Ulcers,Drug,Israel,March 2012,August 2015,Israel
90,91,NCT03564795,Partial-thickness Burn,Effectiveness of KeraStat Gel for Improved Cosmesis of Partial Thickness Burns,Device,United States,"August 31, 2018","October 31, 2022",United States
91,92,NCT04497805,Diabetic Foot Ulcer,Clinical Study of ALLO-ASC-SHEET in Subjects With Diabetic Wagner Grade II Foot Ulcers,Biological,United States,"August 1, 2020",December 2022,United States
92,93,NCT00234728,Psoriasis,Study of a New Dressing for Use With Topical Medications,Device,United States,September 2005,June 2007,United States
93,94,NCT00971048,Diabetic Foot Ulcers|Pressure Ulcers,Evaluation of the Effects of HP828-101 Versus Standard of Care in the Management of Partial or Full Thickness Wounds,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,September 2009,January 2011,United States
94,95,NCT03640286,Obesity,Vestibular Stimulation to Trigger Adipose Loss (VeSTAL) Clinical Trial,Device,United States|United States|United States|United Kingdom,"August 23, 2019",February 2022,United States
95,96,NCT00690833,Atopic Dermatitis,Efficacy of Desonide (Desonatetm) Gel 0.05% in Younger and Older Subjects With Atopic Dermatitis,Drug,United States,August 2007,November 2009,United States
96,97,NCT04450693,Diabetic Foot Infection|Non-healing Wound|Non-healing Diabetic Foot Ulcer,"Cryopreserved Human Umbilical Cord (TTAX01) for Late Stage, Complex Non-healing Diabetic Foot Ulcers (AMBULATE DFU II)",Biological,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"November 20, 2020",July 2023,United States
97,98,NCT04176120,Diabetic Foot Infection|Non-healing Wound|Non-healing Diabetic Foot Ulcer,"Cryopreserved Human Umbilical Cord (TTAX01) for Late Stage, Complex Non-healing Diabetic Foot Ulcers (AMBULATE DFU)",Biological,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,"July 1, 2020",April 2023,United States
0,1,NCT04834245,Diabetes Mellitus,Evaluation of Diabetic Foot Wound Healing Using Hydrogel/Nano Silver-based Dressing vs. Traditional Dressing,Procedure,Egypt,"January 3, 2019","December 30, 2019",Egypt
1,2,NCT02241811,Wound Healing,Wound Treatment With 3% Sodium Pentaborate Pentahydrate,Drug,Turkey,September 2014,December 2023,Turkey
2,3,NCT03190655,Partial-thickness Burn,Efficacy and Safety of Aluminaid Versus Hydrogel Wound Dressings,Device,Indonesia,"March 1, 2017","March 5, 2018",Indonesia
3,4,NCT03700580,"Diabetic Foot|Neuropathy, Diabetic|Foot Ulcer",Clinical Trial Using the Proteolytic Fraction P1G10 From V. Cundinamarcensis to Heal Diabetic Foot Ulcer,Drug,Brazil,"August 15, 2012","October 15, 2016",Brazil
4,5,NCT04976335,Distal Radius Fracture|Tendon Rupture,"Quantitative and Clinical Assessment of Flexor Tendon Gliding Following Application of a Bioresorbable Hydrogel: A Prospective, Randomized Study in Patients Undergoing Distal Radius Fracture Repair",Device,United States|United States,July 2021,July 2023,United States
5,6,NCT04823962,Venous Leg Ulcer,Effect of rhGM-CSF on the Healing of Venous Leg Ulcers,Drug,Denmark,"March 11, 2021","May 30, 2022",Denmark
6,7,NCT01088685,Blister,Hydrogel Blister Patch Prototype Treatment for Foot Blisters on the Heel,Device,Germany,March 2010,November 2010,Germany
7,8,NCT02457546,Cerebrospinal Fluid Leak,The EVICEL® Neurosurgery Phase III Study,Biological,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Australia|Australia|Australia|Australia|Belgium|Belgium|Canada|New Zealand|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom,"July 1, 2015","October 12, 2017",United States
8,9,NCT01499264,Burns|Burn Injury|Hydrogel Bandage|Occlusive Dressings,Efficacy of MySkin Patch for the Healing of Burn Wounds: a Randomised Controlled Trial,Device,Italy|Italy,January 2012,October 2014,Italy
9,10,NCT01573234,Wounds and Injuries|Abrasion|Cut Injuries,Efficacy of MySkin Patch for the Healing of Cut Injuries and Abrasions,Device,Italy,April 2012,January 2014,Italy
10,11,NCT02224638,Pressure Ulcers,Wound Management for Sacral Pressure Ulcers With Necrotic Tissue,Device,United States|United States,December 2014,August 2015,United States
11,12,NCT01065714,Atopic Dermatitis,A Study to Investigate the Use of Hydrogel Vehicle in Maintaining the Skin Barrier in Persons With Atopic Dermatitis,Drug,United States,February 2010,November 2010,United States
12,13,NCT04715802,Breast|Mammaplasty|Breast Reconstruction,Options on the Breast Reconstruction Timing and Method After Removal of Polyacrylamide Hydrogel,Procedure,China,"October 18, 2006","December 31, 2022",China
13,14,NCT00446472,Diabetic Foot Ulcers,Evaluation of Windowed Casts With and Without Regranex® Gel for Healing Diabetic Neuropathic Ulcers,Drug,United States|United States,April 2007,September 2010,United States
14,15,NCT01105884,Diabetic Foot Ulcers,Clinical and Cost Effectiveness of Different Dressing Materials in Diabetic Foot Ulcers,Procedure,India,October 2009,July 2012,India
15,16,NCT04997863,Wound|Donor Site Complication|Skin Graft Scar|Scar Conditions and Fibrosis of Skin,Clinical Efficacy and Safety of Sericin Hydrogel Sheet Impregnated With Bird's Nest Extract,Device,Thailand,"November 1, 2021","October 31, 2022",Thailand
16,17,NCT01350102,"Diabetes, Type 1|Diabetes, Type 2|Foot Ulcer, Diabetic",The Relationship of Hemoglobin A1c and Diabetic Wound Healing,Drug,United States,February 2012,March 2014,United States
17,18,NCT02712398,"Hernia, Ventral|Incisional Hernia",A Prospective Trial of a Bio-absorbable Mesh in Challenging Laparoscopic Ventral or Incisional Hernia Repair,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,April 2016,"November 15, 2019",United States
18,19,NCT03674151,Split-skin Grafted Third-degree Burn Wound,Trial of Different Wound Dressings in Split-skin Grafted Third Degree Burns,Device,Germany,July 2015,December 2020,Germany
19,20,NCT04601532,Superficial Partial Thickness Burn,Superficial Partial-Thickness Burn Study,Device,United States,"June 11, 2021",December 2022,United States
20,21,NCT02209662,Diabetic Foot Ulcer,Safety and Efficacy Study of APIC-PRP in Non-healing Diabetic Foot Ulcers,Device,,October 2014,December 2015,
