,NCTId,Condition,BriefTitle,InterventionType,StartDate,CompletionDate,Country_Name,Continent_Name,Continent_Code
153,NCT02607254,Idiopathic Small Fiber Neuropathy,Efficacy and Safety of Pregabalin in Treatment of Neuropathic Pain in Patients With Idiopathic Small Fiber Neuropathy,Drug,September 2015,July 2018,United States,North America,
154,NCT01927692,Myasthenia Gravis,Therapeutic Plasma Exchange in MG,Other,July 2013,October 2014,United States,North America,
155,NCT02798640,Transcutaneous Oxygen Tension,Comparative Study Evaluating Performance of Celliant Fibers on Tissue Oxygenation,Device,September 2013,January 2014,United States,North America,
156,NCT04630418,Aging,NanoSilk Cosmo: Evaluation of a Novel Silk Complex on Biophysical Parameters Related to Skin Aging,Other,"May 1, 2021","June 1, 2022",United States,North America,
157,NCT02936843,Type 1 Diabetes|Peripheral Neuropathy,Targeting Inflammation With Salsalate in Type 1 Diabetes Neuropathy,Drug,October 2016,June 2023,United States,North America,
158,NCT04823130,Dermatitis Atopic,Dupilumab Effect on Pruritus Neuro-mechanisms in Patients With Atopic Dermatitis,Drug,"April 6, 2021","August 17, 2022",United States,North America,
159,NCT00862901,Breast Cancer|Skin Cancer,Safety Study Using Photodynamic Therapy Light Therapy for Patients With Chest Wall Progression of Breast Cancer and Satellite Metastases of Melanoma,Device,January 2009,April 2011,United States,North America,
160,NCT01503892,Diabetes|Peripheral Neuropathy,Metanx Effects on Nerve Fiber Density in Neuropathic Diabetics,Dietary Supplement,December 2011,,United States,North America,
161,NCT00476905,Skin Cancer,Spectral Diagnosis of Cutaneous Malignancy,Device,April 2007,"November 20, 2018",United States,North America,
162,NCT03153397,"Enteral Nutrition|Brain Injuries, Traumatic|ICU Admission",Effect of Prebiotic Fiber- Enriched (scFOS) Enteral Feeding on the Microbiome in Neurological Injury Trauma Patients (PreFEED Microbiome Trial),Other,"October 23, 2017","May 31, 2021",United States,North America,
163,NCT03043768,Parkinson's Disease,Cutaneous Autonomic Pilomotor Testing to Unveil the Role of Neuropathy Progression in Early Parkinson's Disease,,March 2016,December 2019,United States,North America,
164,NCT04721600,Skin Laxity,Evaluation of the Evoke Radiofrequency Device for Improvement of Skin Appearance,Device,"November 1, 2020","February 28, 2022",United States,North America,
165,NCT01883102,Pain,The Effect of Ablation of Epidermal Nerve Fibers Using Capsaicin Cream,Drug,June 2013,June 2013,United States,North America,
166,NCT03206216,"Burning Pain|Impaired Balance|Malignant Ovarian Neoplasm|Numbness|Peripheral Neuropathy|Pain, Acute|Tingling",Feasibility Study of New Method of Diagnostic and Prediction of Painful CIPN,Diagnostic Test,"August 4, 2017","October 30, 2017",United States,North America,
167,NCT03874039,Healthy Adults|Atopic Dermatitis|Wearables|Sweat Sensor|Gas Sensor,Sweat and Gas Sensor for Healthy Skin and Atopic Dermatitis,Device,"January 15, 2019",December 2022,United States,North America,
168,NCT02349854,Seborrheic Dermatitis,Neurobiology of the Scalp in Seborrheic Dermatitis,Procedure,February 2013,July 2014,United States,North America,
169,NCT03195868,"Neuropathy|Neuropathy, Diabetic|Neuropathy Toxic",Photobiomodulation Therapy and Nerve Density for Patients With Diabetic or Chemotherapy-associated Neuropathy,Device,"September 30, 2019","January 31, 2021",United States,North America,
170,NCT00970060,Diabetic Neuropathy,Exercise and Nerve Function in Diabetes,Behavioral,June 2008,October 2009,United States,North America,
171,NCT03058575,Gut Microbiome,Effects of a Novel Food Product Containing Microbiota Accessible Carbohydrates on the Human Microbiome,Dietary Supplement,"January 16, 2017","September 30, 2017",United States,North America,
172,NCT02832674,Skin Laxity,Safety and Effectiveness Evaluation of the Device in Achieving Submental Lift,Device,"June 25, 2016","April 8, 2017",United States,North America,
173,NCT01524666,Peripheral Neuropathy,Nutritional Supplementation With Agmatine Sulfate During Small Fiber Neuropathy,,February 2012,October 2018,United States,North America,
174,NCT02881047,"Subjects With Severe, Refractory Sclerotic Skin Changes",Ablative Fractional Laser for Sclerotic GVHD-Associated Joint Contractures,Device,"November 11, 2013","August 19, 2016",United States,North America,
175,NCT02217124,Obesity,"Impact of High Fiber Snacks on Adiposity, Glucose Regulation and Appetite",Other,July 2014,April 2016,United States,North America,
176,NCT00397436,Proteomics,Pilot Study of Protein Profiling of the Human Epidermal Cells After Ultraviolet Irradiation,Procedure,February 2007,December 2015,United States,North America,
177,NCT01619566,Fibromyalgia,Cymbalta for Fibromyalgia Pain - Predictive Value of Small Fiber Changed,Drug,June 2012,January 2015,United States,North America,
178,NCT04064229,Infiltration of Peripheral IV Therapy,ivWatch SmartTouch Sensor: Device Validation for Infiltrated Tissues,Device,"April 3, 2019","April 9, 2019",United States,North America,
179,NCT03685253,Diabetic Neuropathy Peripheral,Nicotinamide Riboside for Diabetic Neuropathy,Drug,"January 24, 2019","October 1, 2024",United States,North America,
180,NCT02991677,"Cancer, Breast|Cancer, Colorectal|Cancer, Lung|Cancer, Ovarian",Exercise Effect on Chemotherapy-Induced Neuropathic Pain,Behavioral,"March 1, 2018",June 2023,United States,North America,
181,NCT02347709,Diabetic Foot Ulcer|Diabetic Neuropathy|Type 2 Diabetes,Differential Characteristics of Neuropathy in Type 2 Diabetics With and Without Lower Extremity Wounds,Procedure,December 2014,December 2017,United States,North America,
182,NCT02423434,"Diabetic Polyneuropathy|Diabetes Mellitus|Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2|Diabetes Complications",Evaluation of Corneal Confocal Microscopy for the Identification and Prediction of Neuropathy in Type 1 Diabetes,Other,September 2014,August 2018,United States,North America,
183,NCT00005770,Healthy,Investigation of the Effect of Acupuncture Needling on Connective Tissue Using Ultrasound Elastography,Device,,,United States,North America,
184,NCT01086150,Diabetic Peripheral Neuropathy,Use of Topical Lidocaine to Reduce Pain in Patients With Diabetic Neuropathy,Procedure,October 2009,October 2015,United States,North America,
185,NCT03344861,Lung Cancer|Lung Cancer Metastatic,Safety of PDT-Photofrin® Prior to Lung Surgery,Drug,"August 14, 2017","March 22, 2019",United States,North America,
186,NCT01525875,Pseudoxanthoma Elasticum,Magnesium Supplements In The Treatment Of Pseudoxanthoma Elasticum (PXE),Drug,August 2012,March 2015,United States,North America,
187,NCT04645680,Clinical Stage III Cutaneous Melanoma AJCC v8|Clinical Stage IV Cutaneous Melanoma AJCC v8|Metastatic Melanoma|Pathologic Stage III Cutaneous Melanoma AJCC v8|Pathologic Stage IV Cutaneous Melanoma AJCC v8|Unresectable Melanoma,"Effect of Diet on the Immune System in Patients With Stage III-IV Melanoma Receiving Immunotherapy, DIET Study",Other,"June 24, 2020","February 1, 2022",United States,North America,
188,NCT04720170,Diabetic Peripheral Neuropathy,Exploratory Study of the Efficacy of Standard of Care Revascularization of the Lower Extremity,Procedure,"February 15, 2021","September 15, 2021",United States,North America,
189,NCT04523961,"Anesthesia, Local|Photodamaged Skin|Topical and Infiltration Anesthetic Toxicity",Comparative Study of Two Topical Anesthetics Prior to Fractional Nonablative Laser Treatment of the Face,Drug,"January 1, 2021","December 30, 2021",United States,North America,
190,NCT03223636,Healthy Volunteers,Measuring the Latency Connectome in the Central Nervous Systems Using Neuroimaging and Neurophysiological Techniques,Device,"October 2, 2017","February 26, 2021",United States,North America,
191,NCT02915263,Diabetes Complications|Diabetes Mellitus|Diabetic Neuropathies,The Efficacy Of Intravenous Immunoglobulin Therapy In Treatment Induced Neuropathy Of Diabetes,Drug,"September 11, 2017",September 2021,United States,North America,
192,NCT03249909,Wounds and Injuries,Evaluation of Exufiber Ag+ and Other Gelling Fibre Dressings,Device,"August 11, 2017","August 19, 2019",United States,North America,
193,NCT04664478,Abnormal Elastogenesis|Vascular Diseases|Connective Tissue Diseases,Gene First Approach to Connective Tissue Disease,,"April 22, 2021","February 28, 2025",United States,North America,
194,NCT02916745,Non-small Cell Lung Cancer (NSCLC)|Lung Metastasis,Feasibility Study of Using Navigational Bronchoscopy to Perform PDT-Photofrin® in Unresectable Peripheral Lung Cancer,Drug,"January 26, 2017","April 12, 2019",United States,North America,
195,NCT00624468,Optic Neuritis,Atacicept in Subjects With Optic Neuritis,Drug,June 2008,January 2011,United States,North America,
196,NCT04058652,Psoriasis,Use of Transcutaneous Electrical Nerve Stimulation for Reducing Biologic Injection Site Pain(TENS Study),Device,"August 7, 2019","February 28, 2022",United States,North America,
197,NCT03371823,Cardiovascular Diseases|Hypertension,Vascular Dysfunction in Hypertensive Postmenopausal Women,Other,"September 1, 2017","December 31, 2019",United States,North America,
198,NCT02552277,Diabetic Nephropathies|Peripheral Nervous System Diseases,A Efficacy and Safety Study of Intramuscular Injection of Human Placenta-Derived Cells (PDA-002) in Subjects With Diabetic Peripheral Neuropathy,Biological,"October 27, 2015","October 30, 2017",United States,North America,
199,NCT00132353,Musculoskeletal Physiology,Training for Diagnosing Neurological Disorders,,"November 4, 2005","January 25, 2021",United States,North America,
200,NCT03617185,Polyneuropathies|Obesity|Bariatric Surgery Candidate,Effect of Exercise and Surgical Weight Loss on Polyneuropathy,Other,"July 12, 2018","June 30, 2024",United States,North America,
201,NCT03213249,Breast Implant Infection|Mammoplasty,Bacterial Biofilms in Reconstructive Breast Prostheses Following Mastectomy,Other,"July 25, 2017","September 26, 2018",United States,North America,
202,NCT01262716,Breast Cancer,A Novel Therapy for the Treatment of Chest Wall Progression of Breast Cancer,,December 2010,August 2011,United States,North America,
203,NCT01259271,Healthy|Pain,Selective Nerve Stimulation (SNS) Pilot Study,Device,"November 1, 2010","February 1, 2011",United States,North America,
204,NCT03983525,Macular Pigment Optical Density,The Effect of Gojiberry Intake (Lycium Barbarium) on Macular Function,Dietary Supplement,"June 10, 2019","June 15, 2020",United States,North America,
205,NCT03767400,Skin Care,"Dynamic Optical Coherence Tomography(D-OCT) Aging Study: A Preliminary Evaluation of Structural Differences Between Young and Aged Skin, Cellulite and Atrophic Acne Scars in Female Caucasian Subjects With Fitzpatrick Skin Types I-III Utilizing Non-invasive in Vivo D-OCT.",Device,"December 7, 2018","July 30, 2019",United States,North America,
206,NCT04639336,Pompe Disease,Cognitive and Neurological Pathologies in Pompe Disease,,"August 3, 2016",August 2022,United States,North America,
207,NCT03303040,Mechanical Ventilation Complication|Diaphragm Injury,Effect of Diaphragm Stimulation During Surgery,Other,"February 14, 2018","May 31, 2022",United States,North America,
208,NCT03674541,Myalgic Encephalomyelitis/Chronic Fatigue Syndrome|Chronic Fatigue Syndrome|Myalgic Encephalomyelitis|Exercise Intolerance|Dysautonomia|Low Ventricular Filling Pressures (Preload Failure)|Postural Orthostatic Tachycardia Syndrome|Orthostatic Hypotension|Fibromyalgia,The Exercise Response to Pharmacologic Cholinergic Stimulation in Myalgic Encephalomyelitis / Chronic Fatigue Syndrome,Drug,"January 14, 2020","June 1, 2021",United States,North America,
209,NCT03929367,Chronic Pain,PK Sampling After IV Oxytocin and Effects on Sensory Function in Healthy Volunteers,Drug,"May 10, 2019","March 1, 2020",United States,North America,
210,NCT00744939,Fibrosis|Kidney Failure|Renal Insufficiency,Risk of Nephrogenic Systemic Fibrosis (NSF) in Patients With Moderate Renal Insufficiency After the Administration of Magnevist,Drug,November 2008,November 2013,United States,North America,
211,NCT03761992,Normal Tension Glaucoma,Measurement of the Effect of Gingko Biloba Extract on Ocular and Nailfold Blood-flow in NTG,Dietary Supplement,"November 19, 2018",December 2020,United States,North America,
212,NCT00618514,Varicose Veins,The BRILLIANT Study,Device,June 2008,August 2009,United States,North America,
213,NCT00482976,Diabetes Mellitus,Effect of LY333531 on Vascular and Neural Functions,Drug,December 2003,March 2005,United States,North America,
214,NCT02974959,Traumatic Brain Injury|Acute Brain Injuries,Vagus Nerve Stimulation to Treat Moderate Traumatic Brain Injury,Device,October 2016,November 2020,United States,North America,
215,NCT01663285,Urothelial Cancer|Bladder Cancer,Clinical Trial Of Neoadjuvant Chemotherapy (NAC)In Upper Tract Urothelial Carcinoma (UTUC),Drug,September 2012,January 2014,United States,North America,
216,NCT00003098,Breast Cancer,Diet and Estrogen Metabolism in Postmenopausal Women,Other,August 1997,June 2004,United States,North America,
217,NCT03139435,Peripheral Neuropathy|Stage 0 Breast Cancer|Stage I Breast Cancer|Stage IA Breast Cancer|Stage IB Breast Cancer|Stage II Breast Cancer|Stage IIA Breast Cancer|Stage IIB Breast Cancer|Stage III Breast Cancer|Stage IIIA Breast Cancer|Stage IIIB Breast Cancer|Stage IIIC Breast Cancer|Stage IV Breast Cancer,Ultrasound in Detecting Taxane-Induced Neuropathy in Patients With Breast Cancer,Procedure,"May 11, 2017","January 11, 2019",United States,North America,
218,NCT00397748,Volunteer|Attention Deficit Hyperactivity Disorder,PET Scanning of Adults With Attention Deficit Hyperactivity Disorder (ADHD),,"September 15, 2006","November 27, 2012",United States,North America,
219,NCT03937778,Normal Physiology,Sensory Afferents for Deep Pressure Sensation,Behavioral,"June 20, 2019","November 17, 2020",United States,North America,
220,NCT03935048,Metabolic Syndrome,Diet and Health in Adults With Metabolic Syndrome,Dietary Supplement,"June 1, 2019","May 30, 2023",United States,North America,
221,NCT04839523,Partial-thickness Burn,Performance and Safety of Exufiber Ag+ and Exufiber on Partial Thickness Burns,Device,"March 10, 2021","December 31, 2021",United States,North America,
222,NCT02218866,Peripheral Neuropathy|Obesity,The Effect of Bariatric Surgery on Peripheral Nerve Function and Axonal Regeneration,,January 2012,"December 31, 2017",United States,North America,
223,NCT00030212,Sporadic|Inclusion Body|Myositis,Immune Abnormalities in Sporadic Inclusion Body Myositis,,"February 4, 2002","December 10, 2007",United States,North America,
224,NCT01541436,Pain,Remote Ischemic Preconditioning Mechanism Study,Device,March 2012,"April 30, 2017",United States,North America,
225,NCT04760483,"Male Urogenital Diseases|Genital Diseases, Male|Prostatic Disease|Prostatic Hyperplasia",Office Based Transperineal Laser Ablation for Benign Prostatic Hyperplasia HYPERPLASIA,Device,"November 20, 2020","November 20, 2022",United States,North America,
226,NCT00176995,Pseudofolliculitis Barbae,Effect of 15% Eflornithine Hydrochloride Cream on African-American Males With Pseudofolliculitis Barbae,Drug,March 1999,October 2000,United States,North America,
227,NCT04685213,Covid19|Pain|Muscle Atrophy,Electrical Stimulation for Critically Ill Covid-19 Patients,Device,"August 18, 2020","August 18, 2021",United States,North America,
228,NCT02739620,Breast Cancer,Alternative Exercise Program to Improve Skeletal Muscle Function and Fatigue in Cancer Survivors,Device,April 2016,March 2019,United States,North America,
229,NCT04786340,Painful Diabetic Neuropathy|Diabetes Mellitus,A 12-Week Study of Topical Pirenzepine or Placebo in Type 2 Diabetic Patients (T2DM) With Painful Peripheral Neuropathy,Drug,"November 20, 2020","May 14, 2022",United States,North America,
230,NCT05008744,Twin to Twin Transfusion as Antepartum Condition|Monochorionic Diamniotic Placenta,Laser Photocoagulation of Communicating Vessels in Twin-to-Twin Transfusion Syndrome,Procedure,"October 1, 2021","October 1, 2031",United States,North America,
231,NCT03440099,Biological Aging,Sex-specific Adaptation to Resistance Training in Older Adults,Other,"January 1, 2018","March 31, 2022",United States,North America,
232,NCT04709419,Diabetic Foot Ulcer,Celliant Socks to Increase Tissue Oxygenation and Complete Wound Closure in Diabetic Foot Wounds,Device,"September 1, 2021",August 2024,United States,North America,
233,NCT01236573,Skin Cancer|Metastatic Melanoma,Cell Therapy for Metastatic Melanoma Using CD8 Enriched Tumor Infiltrating Lymphocytes,Drug,October 2010,March 2015,United States,North America,
234,NCT02837822,Chronic Pain|Complex Regional Pain Syndrome|Failed Back Surgery Syndrome,Effects of Spinal Cord Stimulation on Sensory Perceptions of Chronic Pain Patients,Device,October 2015,May 2018,United States,North America,
235,NCT04918784,Diabetic Foot Ulcer,Comparing Synthetic Hybrid-Scale Fiber Matrix With Standard of Care in Treating Diabetic Foot Ulcers,Device,"May 5, 2021","May 15, 2022",United States,North America,
236,NCT03795116,Fibrosis|Skin Scarring|Skin Wound|Hypertrophic Scar|Scar|Keloid,Light Emitting Diode-Red Light (LED-RL) Phototherapy for Skin Scarring Prevention,Device,"March 18, 2019",May 2021,United States,North America,
237,NCT01555567,Anterior Cruciate Ligament Injury,Electrical Stimulation and Eccentric Exercise for Anterior Cruciate Ligament (ACL) Injury,Device,August 2009,July 2014,United States,North America,
238,NCT02780531,Neurological Disorders|Neuromuscular Disorders,Genetic and Blood Biomarkers in Neurological and Neuromuscular Diseases,,December 2015,"October 17, 2018",United States,North America,
239,NCT04751045,Chronic Liver Disease,Comparison and Outcomes of Endoscopic Ultrasound Liver Biopsies Versus Percutaneous Liver Biopsies,Procedure,"October 25, 2020","October 15, 2021",United States,North America,
240,NCT03538626,HIV Antibodies,"VRC 609 Study: A Phase I, Open-Label, Dose-Escalation Study of the Safety and Pharmacokinetics of a Human Monoclonal Antibody, VRC-HIVMAB091-00-AB (N6LS), Administered Intravenously or Subcutaneously With or Without Recombinant Human Hyaluronidase PH...",Biological,"June 21, 2018","December 31, 2021",United States,North America,
241,NCT00565604,Venous Insufficiency,Safety and Efficacy of Endovenous Laser Ablation for the Resolution of Incompetent Perforator Veins,Device,October 2007,June 2009,United States,North America,
242,NCT02572713,Parkinson's Disease,Systemic Synuclein Sampling Study (S4),Procedure,October 2015,"August 1, 2017",United States,North America,
243,NCT01682746,"Brain Tumor, Recurrent",Photodynamic Therapy (PDT) for Recurrent Pediatric Brain Tumors,Drug,March 2013,"June 29, 2018",United States,North America,
244,NCT02055248,Brain Disorders|Birth Defects|Craniofacial Differences,Study on Moebius Syndrome and Congenital Facial Weakness Disorders,,"May 20, 2014","April 29, 2020",United States,North America,
245,NCT01405300,Cardiovascular Disease,The Effects of Peanuts and Peanut Products on Glucose Control and Vascular Function,Dietary Supplement,August 2011,June 2014,United States,North America,
246,NCT04713033,Dysphonia,Computational Cranial and Cervical Muscle Network in Normal and Disordered Voice,Diagnostic Test,"March 15, 2021",December 2022,United States,North America,
247,NCT01733407,Hereditary Sensory and Autonomic Neuropathy Type I,L-Serine Supplementation in Hereditary Sensory Neuropathy Type 1,Drug,September 2013,July 2017,United States,North America,
248,NCT00003787,Breast Cancer,Women's Healthy Eating and Living Study,Behavioral,March 1995,"December 31, 2018",United States,North America,
249,NCT02515513,Pancreas Cancer,The Role of Muscle Cachexia in Pancreatic Cancer,Procedure,March 2016,December 2025,United States,North America,
250,NCT03249454,Incomplete Spinal Cord Injury,Effects of Transcutaneous Spinal Direct Current Stimulation in Incomplete Spinal Cord Injury,Device,"August 11, 2017","October 26, 2018",United States,North America,
251,NCT02288858,Hair Thinning,To Evaluate the Effects of Viviscal Oral Supplements When Used by Females With Self-perceived Thinning Hair,Dietary Supplement,April 2011,November 2011,United States,North America,
252,NCT04369716,Glycemic Response,"The Impact of Fruit Juice, Fruit Juice With Pomace, or Whole Fruit on Glycemic Response",Other,"October 9, 2017","December 23, 2017",United States,North America,
253,NCT00623948,Pressure Ulcers,Implanted Gluteal Stimulation System for Pressure Sore Prevention,Device,September 2012,August 2014,United States,North America,
254,NCT01578148,Shoulder Pain|Neck Pain,Noxipoint Therapy Versus Standard Physical Therapy Using Electrical Stimulation for Chronic Pain,Procedure,April 2012,February 2013,United States,North America,
255,NCT01831180,Healthy,A Comparison of Scalp Blood Flow and Hair Shaft In Premenopausal Women Versus Postmenopausal Women,,September 2013,April 2014,United States,North America,
256,NCT01950234,Secondary Progressive Multiple Sclerosis|Primary Progressive Multiple Sclerosis|Progressive Relapsing Multiple Sclerosis,ACTH in Progressive Forms of MS,Drug,October 2013,December 2022,United States,North America,
257,NCT02949076,Nonsmall Cell Lung Cancer,Skeletal Muscle Atrophy and Dysfunction in Human Cancer,Behavioral,July 2016,June 2021,United States,North America,
258,NCT03051984,Knee Osteoarthritis,Skeletal Muscle Atrophy and Dysfunction Following Total Knee Arthroplasty,Device,"January 1, 2017","June 30, 2021",United States,North America,
259,NCT03370848,Flushing|Hyperlipidemias|Dyslipidemias,Effects of Psyllium on Niacin Tolerability,Dietary Supplement,March 2009,July 2011,United States,North America,
260,NCT00811577,Scar Prevention|Scar Reduction,A Phase 2a Study to Evaluate the Safety and Efficacy of AZX100 in Trocar Sites of Arthroscopic Shoulder Surgery Patients,Drug,January 2009,December 2010,United States,North America,
261,NCT02107157,Facial Rejuvenation,Clinical and Histological Evaluation of the Picosure 755nm Laser With Cap Array for Facial Rejuvenation,Device,July 2013,June 2015,United States,North America,
262,NCT01668602,Cerebrovascular Accident,Stroke Gait Rehabilitation Using Functional Electrical Stimulation,Device,August 2013,"May 1, 2019",United States,North America,
263,NCT03958747,Gastrointestinal Cancer|Colorectal Cancer,Ultrasound for the Detection of Oxaliplatin-Induced Peripheral Neuropathy,Diagnostic Test,"December 17, 2019",December 2021,United States,North America,
264,NCT01846208,Food Allergy,Baked Egg or Egg Oral Immunotherapy for Children With Egg Allergy,Drug,July 2013,"September 30, 2018",United States,North America,
265,NCT01783704,Hip Fracture,Improving Community Ambulation After Hip Fracture,Dietary Supplement,"June 10, 2013","October 17, 2017",United States,North America,
266,NCT03321955,Neuropathic Pain,Ziconotide as First-Line IDT,Drug,"November 3, 2016","December 30, 2020",United States,North America,
267,NCT04542135,Breast Cancer,Sulindac and Breast Density in Women at Risk of Developing Breast Cancer,Drug,"November 20, 2020",December 2024,United States,North America,
268,NCT01221194,Diabetes,Therapeutic Stockings to Prevent Foot Ulcers,Behavioral,October 2010,March 2016,United States,North America,
269,NCT04299425,Parathyroid Adenoma|Parathyroid Neoplasms|Parathyroid Hyperplasia|Parathyroid Cancer|Hypercalcemia|Primary Hyperparathyroidism,Evaluating Impact of NIRAF Detection for Identifying Parathyroid Glands During Parathyroidectomy,Device,"March 13, 2020",February 2023,United States,North America,
270,NCT00918216,Breast Cancer,Spectroscopy of Breast Tissue,Genetic,March 2008,October 2013,United States,North America,
271,NCT02467023,Sepsis,Project 4B: Lower Extremity Strength Training in ICU Patients,Device,September 2015,"July 15, 2016",United States,North America,
272,NCT01098487,"Purpura, Thrombocytopaenic, Idiopathic","A Longitudinal 2-year Bone Marrow Study of Eltrombopag in Previously Treated Adults, With Chronic Immune (Idiopathic) Thrombocytopenic Purpura (ITP)",Drug,May 2010,May 2014,United States,North America,
273,NCT03752034,Rotator Cuff,Muscle Fiber Fragments for Improved Function of Rotator Cuff Musculature Following Rotator Cuff Repair,Other,"November 4, 2019",April 2022,United States,North America,
274,NCT03618628,Diabetes Mellitus|Peripheral Neuropathy|Orthotic Device,Peak Plantar Pressures While Wearing a Carbon Fiber Off Loading Orthoses,Device,"May 24, 2016","April 12, 2018",United States,North America,
275,NCT03069222,Spinal Cord Injuries,Longitudinal Assessment of Spinal Cord Structural Plasticity Using DTI in SCI Patients,Other,"April 1, 2016","March 31, 2020",United States,North America,
276,NCT03770806,Anterior Cruciate Ligament Injury|ACL Injury|ACL - Anterior Cruciate Ligament Rupture,Factors Affecting the Speed of Recovery After ACL Reconstruction,Procedure,"March 24, 2017","June 11, 2018",United States,North America,
277,NCT01644279,Sarcopenia,Skeletal Muscle Apoptosis and Physical Performance; Oxidative RNA/DNA Damage and Repair in Aged Human Muscle,,March 2006,July 2016,United States,North America,
278,NCT02009267,Pectus Excavatum,Nuss Procedure: Clinical Options in Pediatric Pain Management?,Device,November 2013,December 2016,United States,North America,
279,NCT03993171,Relapsing Remitting Multiple Sclerosis,31P-MRS Imaging to Assess the Effects of CNM-Au8 on Impaired Neuronal Redox State in Multiple Sclerosis.,Drug,"December 19, 2019",July 2021,United States,North America,
280,NCT02016300,Cartilage Loss|Microfracture,Effects of Unloader Bracing in Clinical Outcome and Cartilage Physiology Following Microfracture of Chondral Defects,Device,January 2013,June 2018,United States,North America,
281,NCT00672672,Wounds|Infection,Autologous Platelet Gel in Wound Healing of Coronary Artery Bypass Grafting (CABG) Patients,Biological,January 2009,January 2010,United States,North America,
282,NCT00945152,Bacterial Infections|Wounds,Effects of MRSA Bactericidal Gel To Promote Healing and Eliminate MRSA in cSSTI Vancogel(TM),Drug,July 2011,December 2020,United States,North America,
283,NCT00812513,Burns|Electric Burns,Efficacy of R-Pdf/Gbb in Healing Wounds Caused by Third Degree Thermal and Electrical Burns,Drug,July 2011,April 2012,United States,North America,
284,NCT00125086,Wounds,Platelets for Acute Wound Healing,Device,July 2005,February 2006,United States,North America,
285,NCT03686904,Wound Infection,Investigation of a Novel Wound Gel to Improve Wound Healing in Chronic Wounds,Drug,"November 19, 2018","February 14, 2020",United States,North America,
286,NCT02250183,Burns,Medihoney and Santyl for Burn Injuries,Device,"March 15, 2014","August 18, 2016",United States,North America,
287,NCT04084093,Burns,Evaluating the Use of a Concentrated Surfactant Gel in Burn Patients,Device,"February 12, 2020","April 8, 2020",United States,North America,
288,NCT04203225,"Lacerations|Pain, Procedural|LET",Comparison of Two Application Techniques for LET Gel,Drug,"May 22, 2017","November 12, 2019",United States,North America,
289,NCT00199992,Wounds,Platelets in Acute Wounds: A Pilot Study (PAWS),Procedure,January 2005,August 2005,United States,North America,
290,NCT02383992,Wound Healing,Postoperative Care of Sutured Wounds,Drug,October 2015,"October 1, 2019",United States,North America,
291,NCT03938883,"Ophthalmology|Photorefractive Keratectomy (""PRK"")|Laser Assisted Surgery|Refractive Surgery","Ocular Bandage Gel (OBG) Pivotal Trial in Patients Undergoing Photorefractive Keratectomy (""PRK"")",Device,"June 25, 2019","October 10, 2019",United States,North America,
292,NCT02352480,Diabetic Foot Ulcers,Effectiveness of Aurix Therapy in Diabetic Foot Ulcers,Device,January 2015,July 2018,United States,North America,
293,NCT00598689,Corneal Epithelium Defect,GenTeal in Perioperative Treatment of Laser Assisted in Situ Keratomileusis LASIK Patients,Drug,October 2007,October 2009,United States,North America,
294,NCT00316537,Diabetic Foot Ulcers,Safety and Preliminary Efficacy Study of Nicotine Gel to Treat Diabetic Foot Ulcers,Drug,October 2006,July 2007,United States,North America,
295,NCT03010319,Diabetic Foot Ulcer,PriMatrix for the Management of Diabetic Foot Ulcers,Device,January 2017,August 2020,United States,North America,
296,NCT01816633,Diabetic Foot Ulcers,Effectiveness of AutoloGel Therapy in Diabetic Foot Ulcers,Device,October 2013,January 2015,United States,North America,
297,NCT02667327,Diabetic Foot Ulcers,A Study of Granexin Gel in the Treatment of Diabetic Foot Ulcer,Drug,"November 21, 2018","May 27, 2020",United States,North America,
298,NCT01837264,Compartment Syndrome,"Phase I, Arteriocyte Magellan MAR01 Therapy - Compartment Syndrome and Battlefield Trauma",Device,January 2013,"January 31, 2017",United States,North America,
299,NCT00273234,Venous Ulcer,Clinical Effectiveness of Topical Autologous Platelet Gel for the Treatment of Venous Ulcers,Procedure,January 2006,November 2006,United States,North America,
300,NCT01632202,Intrauterine Adhesions,Seprafilm Slurry in the Prevention of Uterine Scarring in Patients Undergoing Hysteroscopic Myomectomy,Device,May 2012,January 2014,United States,North America,
301,NCT02212652,Vitamin D Deficiency|Vitamin D Insufficiency,Vitamin D to Improve Nutrition Prior to Bariatric Surgery and Investigate the Relationship With Negative Outcomes,Dietary Supplement,January 2017,April 2017,United States,North America,
302,NCT01230931,Fracture Fixation|Intra-Articular Fractures|Acetabulum,Hemostasis in Kocher-Langenbeck Approaches for Acetabular Surgery Using a Topical Surgical Hemostat (Vitagel),Device,October 2010,April 2012,United States,North America,
303,NCT04817228,Venous Leg Ulcer|Diabetic Foot Ulcer,"A Study to Evaluate the Clinical Performance, Safety and Pharmacology Effect of EscharEx in Patients With Lower Leg Ulcers",Drug,"April 21, 2021",February 2022,United States,North America,
304,NCT04502914,Burns|Infection Wound|Bacterial Infections,The Study on Bacterial Load Following Open-to-air Management in Burn Patients.,Procedure,"November 1, 2020","March 31, 2022",United States,North America,
305,NCT00333060,Epiretinal Membrane|Macular Hole,Study of OT-551 Eye Drops to Prevent or Delay Progression of Nuclear Cataracts Following Vitreous Removal,Drug,November 2005,January 2008,United States,North America,
306,NCT04060563,Diastasis Recti,Frequency Specific Microcurrent for the Treatment of Diastasis Recti,Device,"January 1, 2020","July 7, 2021",United States,North America,
